Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2015-09-04,7803.4,7804.9,7626.85,7655.05,199569987.0,8200.69
2015-09-03,7774.45,7845.6,7754.05,7823.0,160609681.0,7060.37
2015-09-02,7856.65,7862.55,7699.25,7717.0,222003483.0,9794.29
2015-09-01,7907.95,7929.1,7746.5,7785.85,190581167.0,8633.26
2015-08-31,8009.25,8043.6,7947.95,7971.3,204254629.0,9547.7
2015-08-28,8053.7,8091.8,7961.65,8001.95,201572450.0,8641.87
2015-08-27,7921.6,7963.6,7862.3,7948.95,314422773.0,14282.73
2015-08-26,7865.25,7930.05,7777.1,7791.85,223261362.0,10207.56
2015-08-25,7895.4,7925.4,7667.25,7880.7,308255265.0,13420.76
2015-08-24,8055.95,8060.05,7769.4,7809.0,322096413.0,13856.66
2015-08-21,8305.4,8322.2,8225.05,8299.95,207542070.0,9606.33
2015-08-20,8471.05,8501.35,8359.75,8372.75,189841783.0,9193.19
2015-08-19,8468.05,8520.45,8425.95,8495.15,134512114.0,6338.67
2015-08-18,8505.85,8525.75,8433.6,8466.55,157991554.0,6501.24
2015-08-17,8530.5,8530.6,8428.05,8477.3,180083830.0,6543.01
2015-08-14,8402.35,8530.1,8381.2,8518.55,160680260.0,7090.58
2015-08-13,8384.45,8429.5,8339.75,8355.85,195079107.0,7840.58
2015-08-12,8445.7,8446.95,8337.95,8349.45,195904304.0,8630.35
2015-08-11,8548.45,8556.25,8441.3,8462.35,159192694.0,7049.29
2015-08-10,8577.0,8621.55,8497.8,8525.6,127194886.0,5780.49
2015-08-07,8580.8,8595.95,8552.7,8564.6,148073594.0,6528.28
2015-08-06,8585.8,8606.3,8551.5,8588.65,139116393.0,6595.25
2015-08-05,8547.45,8591.85,8545.85,8567.95,136948290.0,6434.82
2015-08-03,8510.65,8563.95,8508.1,8543.05,161485758.0,7738.1
2015-07-31,8456.1,8548.95,8448.0,8532.85,209629301.0,9522.19
2015-07-29,8365.6,8381.5,8338.45,8375.05,145399010.0,7232.34
2015-07-28,8371.1,8397.4,8321.75,8337.0,179983810.0,8403.15
2015-07-27,8492.1,8492.2,8351.55,8361.0,140828066.0,7353.09
2015-07-24,8588.15,8589.15,8513.5,8521.55,131344832.0,6942.22
